full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,69743,69743,5499,96,96,12,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,51340,51340,6358,169,169,23,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,17692,17692,3730,17,17,5,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28290,28290,2187,13,13,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,21248,21248,1987,24,24,4,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,24931,24931,1516,44,44,5,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5830,5830,1462,5,5,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,11267,11267,1184,31,31,3,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9038,9038,1171,5,5,2,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7243,7243,499,9,9,1,https://github.com/frankbria/ralph-claude-code
ChrisWiles/claude-code-showcase,5382,5382,456,3,3,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3655,3655,540,0,0,1,https://github.com/OneRedOak/claude-code-workflows
Piebald-AI/claude-code-system-prompts,4895,4895,703,8,8,0,https://github.com/Piebald-AI/claude-code-system-prompts
disler/claude-code-hooks-mastery,3142,3142,569,3,3,2,https://github.com/disler/claude-code-hooks-mastery
1rgs/claude-code-proxy,3090,3090,410,-1,-1,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5291,5291,200,-1,-1,0,https://github.com/kodu-ai/claude-coder
shanraisshan/claude-code-best-practice,4680,4680,398,67,67,8,https://github.com/shanraisshan/claude-code-best-practice
zebbern/claude-code-guide,3457,3457,321,2,2,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,6662,6662,327,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2114,2114,362,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
