full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,73777,73777,5865,126,126,10,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,60479,60479,7491,297,297,34,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,21309,21309,4164,51,51,5,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28948,28948,2218,20,20,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22078,22078,2093,26,26,1,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,26284,26284,1643,62,62,6,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6015,6015,1507,12,12,1,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12496,12496,1348,46,46,8,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9152,9152,1183,2,2,-1,https://github.com/diet103/claude-code-infrastructure-showcase
shanraisshan/claude-code-best-practice,9011,9011,845,403,403,48,https://github.com/shanraisshan/claude-code-best-practice
frankbria/ralph-claude-code,7497,7497,531,5,5,0,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5318,5318,758,14,14,2,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5439,5439,465,3,3,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3685,3685,547,1,1,2,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3133,3133,418,1,1,1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3219,3219,573,2,2,0,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5291,5291,199,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3511,3511,326,0,0,0,https://github.com/zebbern/claude-code-guide
ykdojo/claude-code-tips,4093,4093,287,21,21,0,https://github.com/ykdojo/claude-code-tips
Maciek-roboblog/Claude-Code-Usage-Monitor,6786,6786,331,3,3,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2147,2147,364,1,1,-1,https://github.com/Yuyz0112/claude-code-reverse
anthropics/skills,83797,83797,8810,230,230,18,https://github.com/anthropics/skills
pedrohcgs/claude-code-my-workflow,530,530,797,1,1,15,https://github.com/pedrohcgs/claude-code-my-workflow
fuergaosi233/claude-code-proxy,2091,2091,295,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2438,2438,258,1,1,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3561,3561,283,6,6,0,https://github.com/anthropics/claude-code-security-review
anthropics/claude-code-base-action,592,592,590,0,0,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,13245,13245,2146,49,49,9,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1260,1260,262,1,1,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3482,3482,249,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
https-deeplearning-ai/sc-claude-code-files,439,439,595,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
qwibitai/nanoclaw,18728,18728,3011,125,125,18,https://github.com/qwibitai/nanoclaw
RichardAtCT/claude-code-telegram,1903,1903,224,7,7,1,https://github.com/RichardAtCT/claude-code-telegram
eyaltoledano/claude-task-master,25766,25766,2443,0,0,1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,30236,30236,3313,29,29,2,https://github.com/wshobson/agents
siteboon/claudecodeui,7724,7724,982,46,46,3,https://github.com/siteboon/claudecodeui
ding113/claude-code-hub,1600,1600,199,1,1,0,https://github.com/ding113/claude-code-hub
snarktank/ralph,12019,12019,1305,28,28,2,https://github.com/snarktank/ralph
EveryInc/compound-engineering-plugin,9855,9855,783,7,7,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1252,1252,186,0,0,0,https://github.com/feiskyer/claude-code-settings
github/spec-kit,74069,74069,6330,70,70,5,https://github.com/github/spec-kit
sugyan/claude-code-webui,944,944,212,2,2,1,https://github.com/sugyan/claude-code-webui
carlvellotti/claude-code-pm-course,1553,1553,227,5,5,0,https://github.com/carlvellotti/claude-code-pm-course
lst97/claude-code-sub-agents,1441,1441,233,0,0,0,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,851,851,414,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sickn33/antigravity-awesome-skills,19767,19767,3483,261,261,38,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,493,493,238,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
